lib,Genome,PE,Total_reads,Final_reads,Final_yield,Mito_frac,TSS_enrichment,FRoP
JYH_777,mm10,Paired-ended,114620922,3872950,0.0338,0.0764,32.37,0.241
JYH_778_1_2,hg38,Paired-ended,343677834,197471362,0.575,0.00927,28.33,0.251
JYH_778_2,hg38,Paired-ended,253938702,159140604,0.627,0.00911,29.13,0.258
JYH_778,hg38,Paired-ended,89739132,66309876,0.739,0.00972,32.61,0.273
JYH_779_1_2,mm10,Paired-ended,375554476,207475582,0.552,0.0121,23.65,0.24
JYH_779_2,mm10,Paired-ended,271271738,164989992,0.608,0.0119,24.54,0.245
JYH_779,mm10,Paired-ended,104282738,74987706,0.719,0.0126,28.13,0.257
JYH_78,hg38,Paired-ended,29966348,14918996,0.498,0.344,38.85,0.325
JYH_780_1_2,mm10,Paired-ended,320326970,162213728,0.506,0.00897,25.05,0.267
JYH_780_2,mm10,Paired-ended,233628996,132869318,0.569,0.00883,25.76,0.271
JYH_780,mm10,Paired-ended,86697974,61034778,0.704,0.00937,29.45,0.283
JYH_784,mm10,Paired-ended,138293336,32270728,0.233,0.0753,42.94,0.383
JYH_785,mm10,Paired-ended,185663168,44592216,0.24,0.0552,41.55,0.377
JYH_786,hg38,Paired-ended,161414554,28935096,0.179,0.0654,38.53,0.285
JYH_787,hg38,Paired-ended,156076026,28653526,0.184,0.0558,39.97,0.341
JYH_788,mm10,Paired-ended,13633220,6513904,0.478,0.0128,2.117,0.0283
JYH_789,mm10,Paired-ended,14372600,7557714,0.526,0.0228,2.286,0.0296
JYH_79,hg38,Paired-ended,40320918,8381220,0.208,0.619,38.04,0.331
JYH_790,hg38,Paired-ended,94209742,66502222,0.706,0.0111,32.79,0.274
JYH_791,hg38,Paired-ended,93434472,69397186,0.743,0.043,4.13,0.0355
JYH_792,hg38,Paired-ended,89946822,62540160,0.695,0.121,14.76,0.179
JYH_793,hg38,Paired-ended,43453980,32163494,0.74,0.00871,34.38,0.29
JYH_794,hg38,Paired-ended,42751920,28051072,0.656,0.00775,34.7,0.345
JYH_795,hg38,Paired-ended,49592866,35019170,0.706,0.00339,29.25,0.212
JYH_796,hg38,Paired-ended,37741768,28878256,0.765,0.00828,30.46,0.243
JYH_797,hg38,Paired-ended,153253578,35733100,0.233,0.381,31.48,0.426
JYH_798,hg38,Paired-ended,71958964,27508696,0.382,0.0464,13.48,0.11
JYH_799,mm10,Paired-ended,37906556,10340620,0.273,0.269,52.49,0.359
JYH_80,hg38,Paired-ended,37467866,18063402,0.482,0.291,38.7,0.272
JYH_800_1_2,hg38,Paired-ended,81808770,66005344,0.807,0.0125,18.12,0.213
JYH_800,hg38,Paired-ended,4592660,3894146,0.848,0.0136,18.54,0.204
JYH_801_1_2,hg38,Paired-ended,85984508,65987210,0.767,0.0218,18.65,0.206
JYH_801,hg38,Paired-ended,4357844,3596500,0.825,0.0233,19.08,0.196
JYH_802,hg38,Paired-ended,3155392,2462272,0.78,0.0808,22.19,0.251
JYH_803,hg38,Paired-ended,1496694,993498,0.664,0.229,19.1,0.171
JYH_804,hg38,Paired-ended,4696026,2488444,0.53,0.0413,28.16,0.337
JYH_805,hg38,Paired-ended,4283606,2874308,0.671,0.176,25.72,0.342
JYH_806,hg38,Paired-ended,2888550,2148780,0.744,0.0984,25.37,0.229
JYH_807,hg38,Paired-ended,4684958,2937064,0.627,0.254,28.52,0.259
JYH_808,mm10,Paired-ended,5611060,4394662,0.783,0.0259,14.53,0.105
JYH_809,hg38,Paired-ended,10343622,8169380,0.79,0.0562,15.3,0.183
JYH_810,hg38,Paired-ended,9881578,7820724,0.791,0.0556,14.75,0.176
JYH_811,hg38,Paired-ended,9284984,7141198,0.769,0.0715,14.44,0.142
JYH_812,hg38,Paired-ended,8376164,6425466,0.767,0.0709,14.15,0.133
JYH_813,mm10,Paired-ended,155292778,115655364,0.745,0.0071,17.87,0.221
JYH_814,hg38,Paired-ended,911386,389596,0.427,0.44,26.55,0.3
JYH_815,hg38,Paired-ended,948762,429852,0.453,0.414,27.59,0.337
JYH_816,hg38,Paired-ended,2203704,1287442,0.584,0.268,28.12,0.34
JYH_817,hg38,Paired-ended,808644,348618,0.431,0.439,26.91,0.333
JYH_818,hg38,Paired-ended,1006662,435774,0.433,0.437,27.34,0.32
JYH_819,hg38,Paired-ended,1612632,889452,0.552,0.305,27.12,0.327
JYH_820,hg38,Paired-ended,700228,247942,0.354,0.527,26.74,0.325
JYH_821,hg38,Paired-ended,882344,412392,0.467,0.394,28.11,0.325
JYH_822,hg38,Paired-ended,5922634,4122854,0.696,0.0966,33.34,0.272
JYH_823,hg38,Paired-ended,6531624,4529804,0.694,0.0858,34.03,0.259
JYH_824,hg38,Paired-ended,5881806,4146784,0.705,0.0801,31.76,0.245
JYH_825,hg38,Paired-ended,5411604,3787742,0.7,0.0974,32.67,0.257
JYH_826,hg38,Paired-ended,7859842,5461606,0.695,0.104,32.24,0.262
JYH_827,hg38,Paired-ended,6372768,4135252,0.649,0.15,33,0.27
JYH_828,hg38,Paired-ended,7723282,4692560,0.608,0.178,36.44,0.28
JYH_829,hg38,Paired-ended,4724062,2409628,0.51,0.301,30.38,0.185
JYH_830,hg38,Paired-ended,6622308,5315414,0.803,0.052,17.93,0.16
JYH_831,hg38,Paired-ended,6727450,5406890,0.804,0.0492,18.11,0.162
JYH_832,hg38,Paired-ended,6607640,5238220,0.793,0.0633,19.56,0.175
JYH_833,hg38,Paired-ended,6975560,5644864,0.809,0.0489,15.78,0.141
JYH_834,hg38,Paired-ended,5974874,4764138,0.797,0.0622,19.69,0.175
JYH_835,hg38,Paired-ended,6425866,5074858,0.79,0.0627,20.06,0.18
JYH_836,hg38,Paired-ended,5844622,4792732,0.82,0.0306,15.69,0.145
JYH_837,hg38,Paired-ended,7701130,6298024,0.818,0.0366,15.87,0.149
JYH_838,hg38,Paired-ended,8031880,6559000,0.817,0.036,15.61,0.144
JYH_839,hg38,Paired-ended,6575898,5141294,0.782,0.021,37.94,0.344
JYH_840,hg38,Paired-ended,8307200,6249960,0.752,0.05,34.66,0.303
JYH_841,hg38,Paired-ended,6555544,4912588,0.749,0.0544,35.12,0.327
JYH_842,hg38,Paired-ended,6887878,5331080,0.774,0.0395,35.73,0.331
JYH_843,hg38,Paired-ended,6288852,4912122,0.781,0.0269,36.88,0.338
JYH_844,hg38,Paired-ended,5539592,4325388,0.781,0.0375,36.01,0.331
JYH_845,hg38,Paired-ended,5841866,4438240,0.76,0.0517,36.8,0.351
JYH_846,hg38,Paired-ended,6623266,4636456,0.7,0.123,38.03,0.347
JYH_847,hg38,Paired-ended,6454068,4901266,0.759,0.0576,39.55,0.369
JYH_848,hg38,Paired-ended,5367250,4136428,0.771,0.057,37.51,0.355
JYH_849,hg38,Paired-ended,7009946,5337880,0.761,0.0575,36.47,0.347
JYH_850,hg38,Paired-ended,74662554,26165512,0.35,0.041,39.99,0.357
JYH_851,hg38,Paired-ended,52875300,15354892,0.29,0.195,44.89,0.308
JYH_852,hg38,Paired-ended,88505908,27621414,0.312,0.129,36.29,0.296
JYH_853,hg38,Paired-ended,6613726,5045554,0.763,0.0588,36.7,0.338
JYH_854,mm10,Paired-ended,61696446,48522564,0.786,0.0117,36.99,0.329
JYH_855,mm10,Paired-ended,50818446,41441230,0.815,0.00701,36.42,0.341
JYH_856,mm10,Paired-ended,92044652,62027954,0.674,0.0126,37.25,0.362
JYH_857,mm10,Paired-ended,53464784,43451364,0.813,0.00587,32.68,0.315
JYH_9,mm10,Paired-ended,87244082,63741874,0.731,0.0248,8.398,0.0617
MIR_1,mm10,Paired-ended,148417498,67869236,0.457,0.171,30.71,0.3
MIR_10,mm10,Paired-ended,121252678,60616760,0.5,0.107,18.76,0.223
MIR_11,mm10,Paired-ended,285835748,125406692,0.439,0.113,19.48,0.183
MIR_12,mm10,Paired-ended,198463682,95414404,0.481,0.124,19.45,0.185
MIR_13,mm10,Paired-ended,273458142,146064718,0.534,0.143,18.25,0.142
MIR_14,mm10,Paired-ended,202210424,106223940,0.525,0.0953,16.39,0.138
MIR_15,mm10,Paired-ended,186380392,84036720,0.451,0.132,18.47,0.154
MIR_16,mm10,Paired-ended,179155038,104775696,0.585,0.0762,13.97,0.106
MIR_2,mm10,Paired-ended,118940152,75818168,0.637,0.0887,27.4,0.283
MIR_3,mm10,Paired-ended,145695914,76606248,0.526,0.0978,24.41,0.245
MIR_4,mm10,Paired-ended,157357306,93534830,0.594,0.0776,23.78,0.204
MIR_5,mm10,Paired-ended,130307392,66367524,0.509,0.111,22.85,0.241
MIR_6,mm10,Paired-ended,151482182,77024926,0.508,0.114,22.79,0.254
MIR_7,mm10,Paired-ended,159394786,72281242,0.453,0.113,19.68,0.236
MIR_8,mm10,Paired-ended,124737984,71073736,0.57,0.127,19.04,0.196
MIR_9,mm10,Paired-ended,158727196,68794360,0.433,0.134,17.73,0.203
MM_1,hg38,Paired-ended,2852490,2192424,0.769,0.0771,15.13,0.172
MM_11_1,hg38,Paired-ended,65331912,50689888,0.776,0.0528,7.628,0.0799
MM_12_1,hg38,Paired-ended,51014758,32397772,0.635,0.14,15.14,0.178
MM_13_1,hg38,Paired-ended,74915504,57504202,0.768,0.0793,13.28,0.201
MM_14_1,hg38,Paired-ended,112807018,84960266,0.753,0.0829,12.41,0.185
MM_15_1,hg38,Paired-ended,115052496,68064424,0.592,0.223,15.43,0.189
MM_2,hg38,Paired-ended,3400378,2568364,0.755,0.0962,15.87,0.165
MM_3,hg38,Paired-ended,3528866,2425020,0.687,0.147,15.44,0.125
MM_4,hg38,Paired-ended,2527004,1627748,0.644,0.187,14.76,0.1
MM_5,hg38,Paired-ended,1510472,1184446,0.784,0.0534,12.63,0.149
MM_6,hg38,Paired-ended,2135474,1669322,0.782,0.0666,13.64,0.155
MM_7,hg38,Paired-ended,1984136,1527868,0.77,0.068,11.99,0.117
MM_8,hg38,Paired-ended,1282928,1002896,0.782,0.0601,11.97,0.113
NT-1,hg19,Paired-ended,126899404,64160250,0.506,0.31,42.46,0.45
NT-2,hg19,Paired-ended,138272090,69280762,0.501,0.329,40.21,0.431
RM_35_1_2,mm10,Paired-ended,251587030,194721672,0.774,0.0302,15.53,0
RM_35_2,mm10,Paired-ended,235939216,183243790,0.777,0.0301,15.56,0
RM_35,mm10,Paired-ended,15647814,12713300,0.812,0.0311,17.53,0.154
RM_36,mm10,Paired-ended,13406018,10685162,0.797,0.0537,18.06,0.154
RM_37,mm10,Paired-ended,11592816,8922856,0.77,0.0205,6.053,0.0565
RM_38,mm10,Paired-ended,16364920,13026914,0.796,0.0466,25.29,0.184
RM_39_1_2,mm10,Paired-ended,161875096,131936940,0.815,0.0181,15.39,0.16
RM_39_2,mm10,Paired-ended,146668380,119921170,0.818,0.0181,15.44,0.16
RM_39,mm10,Paired-ended,15206716,12795592,0.841,0.0187,16.84,0.165
RM_40_1_2,mm10,Paired-ended,211753602,165423358,0.781,0.0392,17.94,0
RM_40_2,mm10,Paired-ended,191593536,150437306,0.785,0.0391,18.05,0.179
RM_40,mm10,Paired-ended,20160066,16584592,0.823,0.0402,20.17,0.185
RM_41_1_2,mm10,Paired-ended,138262062,107119666,0.775,0.0365,16.18,0.164
RM_41_2,mm10,Paired-ended,125389100,97681840,0.779,0.0364,16.23,0.164
RM_41,mm10,Paired-ended,12872962,10539234,0.819,0.0375,17.62,0.168
RM_42_1_2,mm10,Paired-ended,95293034,76198880,0.8,0.0306,23.23,0.195
RM_42_2,mm10,Paired-ended,84049504,67581346,0.804,0.0306,23.25,0.195
RM_42,mm10,Paired-ended,11243530,9326652,0.83,0.031,25.92,0.203
