lib,Genome,PE,Total_reads,Final_reads,Final_yield,Mito_frac,TSS_enrichment,FRoP
SRC1588,mm10,Single-ended,37489321,21162089,0.564,0.000207,1.289,0.00781
SRC1589,mm10,Single-ended,23438917,9405387,0.401,0.000413,1.25,0.0138
SRC1590,mm10,Single-ended,40665137,31259486,0.769,0.000287,1.33,0.0178
SRC1591,mm10,Single-ended,44939167,28133903,0.626,0.000468,1.393,0.0191
SRC1592,mm10,Single-ended,21811600,13338383,0.612,0.00532,6.324,0.0542
SRC1609_R1,mm10,Single-ended,3076733,440916,0.143,0.00304,1.53,0.0087
SRC1609_R2,mm10,Single-ended,3076733,356647,0.116,0.00308,1.58,0.00918
SRC1609,mm10,Paired-ended,6153466,437946,0.0712,0.00314,1.565,0.0098
SRC1610_R1,mm10,Single-ended,1547934,958998,0.62,0.0109,2.074,0.0223
SRC1610_R2,mm10,Single-ended,1547934,819679,0.53,0.0108,2.282,0.0234
SRC1610,mm10,Paired-ended,3095868,592260,0.191,0.0114,5.088,0.0426
SRC1611_R1,mm10,Single-ended,1503123,984299,0.655,0.00689,3.287,0.0328
SRC1611_R2,mm10,Single-ended,1503123,854145,0.568,0.00693,3.643,0.0351
SRC1611,mm10,Paired-ended,3006246,589550,0.196,0.00712,8.684,0.0766
SRC1612_R1,mm10,Single-ended,1932010,1229226,0.636,0.00568,3.579,0.0365
SRC1612_R2,mm10,Single-ended,1932010,1089349,0.564,0.00576,3.853,0.0394
SRC1612,mm10,Paired-ended,3864020,885206,0.229,0.0059,7.804,0.0777
SRC1613_2,mm10,Paired-ended,26845150,6740864,0.251,0.00791,3.437,0.0281
SRC1613_R1,mm10,Single-ended,529502,287255,0.543,0.00663,1.681,0.0179
SRC1613_R2,mm10,Single-ended,529502,243783,0.46,0.00679,2.147,0.0194
SRC1613,mm10,Paired-ended,1059004,165478,0.156,0.007,4.825,0.0338
SRC1614_R1,mm10,Single-ended,22790268,17398294,0.763,0.000458,1.253,0.0103
SRC1614_R2,mm10,Single-ended,22790268,17165229,0.753,0.000457,1.26,0.0103
SRC1614,mm10,Paired-ended,45580536,35605464,0.781,0.000475,1.259,0.00997
SRC1615_R1,mm10,Single-ended,30067779,19665729,0.654,0.000595,5.29,0.339
SRC1615_R2,mm10,Single-ended,30067779,19464650,0.647,0.000599,5.336,0.34
SRC1615,mm10,Paired-ended,60135558,37700506,0.627,0.000622,5.506,0.353
SRC1639,mm10,Paired-ended,23728500,16057452,0.677,0.000904,1.363,0.0163
SRC1640,mm10,Paired-ended,26613910,17746462,0.667,0.00125,1.396,0.0162
SRC1641,mm10,Paired-ended,14062398,9463068,0.673,0.00101,1.475,0.0172
SRC1642,mm10,Paired-ended,23779262,15818522,0.665,0.000931,1.45,0.0169
SRC1643,mm10,Paired-ended,13204992,9274132,0.702,0.000156,1.372,0.0144
SRC1644,mm10,Paired-ended,20718350,14573870,0.703,0.000119,1.293,0.0135
SRC1645,mm10,Paired-ended,26245794,18365336,0.7,0.000118,1.354,0.0139
SRC1646,mm10,Paired-ended,24665432,17471978,0.708,0.000113,1.432,0.0148
SRC1647,mm10,Single-ended,24904826,19806641,0.795,3.56e-05,1.595,0.0422
SRC1648,mm10,Single-ended,24805352,13641034,0.55,2.98e-05,5.443,0.396
SRC1649,mm10,Single-ended,32631690,17023183,0.522,4.81e-05,5.009,0.0517
SRC1650,mm10,Single-ended,32877209,20290407,0.617,0.00034,2.736,0.0372
SRC1651,mm10,Single-ended,22608088,16640684,0.736,9.54e-06,1.25,0.011
SRC1652,mm10,Single-ended,29251634,21737516,0.743,4.83e-05,2.648,0.0484
SRC1653,mm10,Single-ended,38317674,17399436,0.454,3.14e-05,1.33,0.0047
SRC1654,mm10,Single-ended,33985188,20304759,0.597,2.59e-05,1.208,0.00766
SRC1690,mm10,Single-ended,63887882,43925001,0.688,0.00369,1.35,0.0184
SRC1691,mm10,Single-ended,60292672,42727152,0.709,0.000628,1.418,0.0194
SRC1692,mm10,Single-ended,48603490,33710443,0.694,0.000736,1.303,0.0154
SRC1693,mm10,Single-ended,62070691,42780875,0.689,0.000901,1.256,0.0166
SRC1694,mm10,Single-ended,43959172,30398199,0.692,0.000461,1.655,0.0223
SRC1695,mm10,Single-ended,1609419,1057718,0.657,0.000178,1.309,0.0144
SRC1696,mm10,Single-ended,48693538,33536634,0.689,0.000272,1.241,0.0153
SRC1697,mm10,Single-ended,42165699,30703058,0.728,0.000968,1.476,0.0202
SRC1698,mm10,Single-ended,9951454,7172930,0.721,0.00658,1.404,0.0183
SRC1699,mm10,Single-ended,14395679,10520462,0.731,0.00199,1.29,0.0172
SRC1700,mm10,Single-ended,41858170,29930645,0.715,0.000122,1.274,0.0178
SRC1701,mm10,Single-ended,25608520,18068827,0.706,0.000112,1.315,0.0187
SRC1702,mm10,Single-ended,128305683,84400669,0.658,0.0032,2.979,0.0468
SRC1703,mm10,Single-ended,30448212,24094924,0.791,4.91e-05,8.284,0.404
SRC1704,mm10,Single-ended,50402364,36771435,0.73,0.000193,6.781,0.247
SRC1705,mm10,Single-ended,6997920,5498426,0.786,0.000135,4.759,0.18
SRC1706,mm10,Single-ended,321138,239319,0.745,0.000244,8.316,0.331
SRC1707,mm10,Single-ended,37303229,25567953,0.685,0.000232,4.563,0.145
SRC1708,mm10,Single-ended,16647239,11185416,0.672,0.000272,3.49,0.0857
SRC1709,mm10,Single-ended,47402069,36980636,0.78,0.000214,4,0.279
SRC1710,mm10,Single-ended,20104841,14826778,0.737,0.000808,6.909,0.319
SRC1711,mm10,Single-ended,68820185,49453078,0.719,0.000252,5.631,0.312
SRC1712,mm10,Single-ended,26324751,20082862,0.763,3.36e-05,5.835,0.213
SRC1713,mm10,Single-ended,45963304,34092559,0.742,4.35e-05,6.917,0.393
SRC1723,mm10,Single-ended,7433560,2017043,0.271,0.00649,14.59,0.15
SRC1724,mm10,Single-ended,4951147,1858902,0.375,0.00652,10.91,0.0936
SRC1725,mm10,Single-ended,5857877,2741340,0.468,0.00815,8.378,0.0679
SRC1726,mm10,Single-ended,9273533,5167122,0.557,0.00814,1.264,0.0145
SRC1727,mm10,Single-ended,5409172,2451148,0.453,0.00635,1.335,0.0141
SRC1728,mm10,Single-ended,2246846,1395286,0.621,0.00821,1.259,0.0154
SRC1729,mm10,Single-ended,14041909,10688955,0.761,0.000886,1.368,0.0195
SRC1730,mm10,Single-ended,11402366,8396866,0.736,4.13e-05,1.233,0.0174
SRC1731,mm10,Single-ended,11494287,8221765,0.715,0.000177,1.242,0.0136
SRC1732,mm10,Single-ended,13326327,9047566,0.679,0.000309,1.246,0.0146
SRC1733,mm10,Single-ended,8393858,5466258,0.651,5.1e-05,1.323,0.017
SRC1734,mm10,Single-ended,12889905,8661327,0.672,0.000104,1.241,0.014
SRC1735,mm10,Single-ended,11133608,7666978,0.689,0.000122,1.249,0.0131
SRC1736,mm10,Single-ended,7942090,6131373,0.772,0.000214,1.389,0.0172
SRC1737,mm10,Single-ended,9710245,7031084,0.724,0.000667,1.277,0.0132
SRC1738,mm10,Single-ended,7779078,5393051,0.693,0.000548,1.259,0.0142
SRC1739,mm10,Single-ended,12365385,8743194,0.707,3.84e-05,1.386,0.0295
SRC1740,mm10,Single-ended,9942928,7349432,0.739,2.22e-05,1.567,0.0432
SRC1741,mm10,Single-ended,21775812,16094750,0.739,0.00151,1.788,0.0369
SRC1742,mm10,Single-ended,16781454,12762821,0.761,0.000128,1.875,0.0559
SRC1743,mm10,Single-ended,19776572,13834719,0.7,0.000182,1.407,0.0183
SRC1744,mm10,Single-ended,18303069,12505585,0.683,0.000329,1.281,0.0155
SRC1745,mm10,Single-ended,18144617,12300835,0.678,0.000118,1.234,0.0151
SRC1746,mm10,Single-ended,17060281,11778666,0.69,0.000118,1.22,0.0144
SRC1747,mm10,Single-ended,16528548,11946854,0.723,0.000451,1.309,0.0204
SRC1748,mm10,Single-ended,19755523,14632603,0.741,0.00114,1.613,0.0363
SRC1749,mm10,Single-ended,19871796,14334965,0.721,0.00109,1.485,0.0289
SRC1750,mm10,Single-ended,19787227,14272444,0.721,3.73e-05,1.648,0.0354
SRC1751,mm10,Single-ended,16770863,12240809,0.73,2.39e-05,1.597,0.0406
SRC1752,mm10,Single-ended,15756623,11856820,0.752,0.000934,9.775,0.344
SRC1753,mm10,Single-ended,14343715,11550232,0.805,0.000311,5.195,0.332
SRC1754,mm10,Single-ended,13884998,10450450,0.753,9.69e-05,3.28,0.0616
SRC1755,mm10,Single-ended,11928744,8764713,0.735,9.26e-05,2.338,0.0446
SRC1756,mm10,Single-ended,13982043,9655237,0.691,0.00634,1.277,0.0169
SRC1757,mm10,Single-ended,15711877,11048856,0.703,0.00337,1.304,0.016
SRC1758,mm10,Single-ended,20657652,14120443,0.684,0.000135,1.219,0.0143
takara,mm10,Paired-ended,1179954,443412,0.376,0.367,12.48,0.0898
XH_112,mm10,Paired-ended,72939088,61063494,0.837,0.0521,23.09,0.187
XH_113,mm10,Paired-ended,78911276,68351706,0.866,0.0234,23.01,0.18
XH_114,mm10,Paired-ended,75779698,61382180,0.81,0.0732,25.14,0.195
XH_115,mm10,Paired-ended,76883304,64649898,0.841,0.0426,25.85,0.188
XH_123,hg38,Paired-ended,369557076,72700132,0.197,0.231,42.02,0.471
XH_124_1_2,hg38,Paired-ended,209525084,125056526,0.597,0.00773,36.07,0.426
XH_59,hg19,Paired-ended,3766542,2138120,0.568,0.266,6.367,0.0568
XW_27,hg38,Paired-ended,78156160,55650654,0.712,0.0434,2.95,0.0549
XW_28,hg38,Paired-ended,143054446,103216608,0.722,0.0714,3.362,0.0535
XW_29,hg38,Paired-ended,57916998,35927550,0.62,0.046,2.738,0.0413
XW_30,hg38,Paired-ended,151366242,108928086,0.72,0.0675,6.465,0.0758
XW_31,hg38,Paired-ended,119868468,89556952,0.747,0.0391,4.105,0.0569
XW_32,mm10,Paired-ended,117831028,96472560,0.819,0.00662,15.15,0.148
XW_71,hg38,Paired-ended,528241216,78411370,0.148,0.0509,14.76,0.124
ZC_1,mm10,Paired-ended,126869154,94238586,0.743,0.0599,10.81,0.103
ZC_10,hg19,Paired-ended,41602638,11744524,0.282,0.589,12.88,0.132
ZC_11,hg19,Paired-ended,49469622,13221498,0.267,0.602,16.34,0.138
ZC_12,hg19,Paired-ended,45344618,19986328,0.441,0.315,16.5,0.152
ZC_13,hg19,Paired-ended,57819656,19103028,0.33,0.537,12.6,0.12
ZC_14,hg19,Paired-ended,47972366,18149998,0.378,0.438,14.46,0.139
ZC_15,hg19,Paired-ended,52518764,18319192,0.349,0.508,15.2,0.134
ZC_16,hg19,Paired-ended,50540460,11997092,0.237,0.63,15.16,0.138
ZC_17,hg19,Paired-ended,15612590,7283946,0.467,0.368,6.047,0.0774
ZC_18,hg19,Paired-ended,13448068,7206190,0.536,0.336,14.59,0.189
ZC_19,hg19,Paired-ended,47020636,6065290,0.129,0.768,15.4,0.159
ZC_2,mm10,Paired-ended,161190118,132474472,0.822,0.00367,5.629,0.0526
ZC_20,hg19,Paired-ended,50672058,22740270,0.449,0.371,9.634,0.0867
ZC_21,hg19,Paired-ended,85598920,27442910,0.321,0.538,6.728,0.0791
ZC_22,hg19,Paired-ended,46732448,17390134,0.372,0.473,8.88,0.0983
ZC_23,hg19,Paired-ended,77173260,13795424,0.179,0.714,26.84,0.207
ZC_24,hg19,Paired-ended,40651050,7816646,0.192,0.658,11.51,0.106
ZC_25,hg19,Paired-ended,81815342,25046312,0.306,0.574,15.89,0.164
ZC_26,hg19,Single-ended,13774449,11491829,0.834,5.62e-05,3.805,0.12
ZC_27,hg19,Single-ended,13797709,11023686,0.799,4.94e-05,6.18,0.248
ZC_28,hg19,Single-ended,11052489,8943769,0.809,0.00392,1.446,0.0181
ZC_29,hg19,Single-ended,5182350,4173267,0.805,6.66e-05,5.988,0.156
ZC_3,hg19,Paired-ended,151253942,21310052,0.141,0.719,16.47,0.172
ZC_30,hg19,Single-ended,6155402,4914126,0.798,4.48e-05,6.048,0.123
ZC_31,hg19,Single-ended,3991100,2833732,0.71,0.00237,1.654,0.0228
ZC_32,hg19,Single-ended,8743822,7220815,0.826,5.52e-05,6.67,0.164
ZC_33,hg19,Single-ended,10957732,8581912,0.783,2.23e-05,10.3,0.373
ZC_34,hg19,Single-ended,4266994,3036994,0.712,0.00138,1.624,0.0229
ZC_35,hg19,Single-ended,11606852,9698580,0.836,7.28e-05,4.097,0.124
ZC_36,hg19,Single-ended,8406816,6679596,0.795,0.000115,6.953,0.301
ZC_37,hg19,Single-ended,8374068,6824202,0.815,0.00406,1.405,0.018
ZC_38,hg19,Single-ended,14963228,10726328,0.717,7.48e-05,4.662,0.12
ZC_39,hg19,Single-ended,12323979,9264642,0.752,3.84e-05,9.014,0.49
ZC_4,hg19,Paired-ended,55674156,5564744,0.1,0.783,18.27,0.153
ZC_40,hg19,Single-ended,10020272,8106743,0.809,0.00193,1.439,0.0179
ZC_41,hg19,Single-ended,10206867,8350021,0.818,3.99e-05,7.523,0.164
ZC_42,hg19,Single-ended,14146102,11145246,0.788,7.13e-05,7.734,0.433
ZC_43,hg19,Single-ended,4791466,3407294,0.711,0.00264,1.894,0.0311
ZC_44,hg19,Single-ended,13339098,10997622,0.824,5.37e-05,5.052,0.139
ZC_45,hg19,Single-ended,12975306,10511860,0.81,8.02e-05,6.237,0.16
ZC_46,hg19,Single-ended,10717260,8924730,0.833,0.00501,1.43,0.0167
ZC_47,hg19,Single-ended,11587068,9864011,0.851,3.22e-05,5.446,0.14
ZC_48,hg19,Single-ended,10645751,8623792,0.81,2.56e-05,6.213,0.382
ZC_49,hg19,Single-ended,3627132,2533430,0.698,0.00212,1.83,0.0246
ZC_5,hg19,Paired-ended,53656200,16730036,0.312,0.5,17.88,0.196
ZC_50,hg19,Single-ended,7193369,6036359,0.839,1.87e-05,4.446,0.128
ZC_51,hg19,Single-ended,20725053,16156153,0.78,2.6e-05,5.703,0.235
ZC_52,hg19,Single-ended,3994158,2710416,0.679,0.00214,1.498,0.013
ZC_53,hg19,Single-ended,13248327,11158036,0.842,2.79e-05,3.868,0.107
ZC_54,hg19,Single-ended,14835606,11867901,0.8,3.2e-05,6.954,0.202
ZC_55,hg19,Single-ended,14563578,12109372,0.831,0.00377,1.401,0.016
ZC_56,hg19,Single-ended,10434421,8376228,0.803,0.000113,5.297,0.155
ZC_57,hg19,Single-ended,4712882,3785975,0.803,9.13e-05,6.625,0.278
ZC_58,hg19,Single-ended,23752466,19533177,0.822,0.00827,1.426,0.0156
ZC_59,hg19,Single-ended,12391410,10299152,0.831,2.1e-05,7.492,0.179
ZC_6,hg19,Paired-ended,29067528,7224730,0.249,0.645,14.43,0.134
ZC_60,hg19,Single-ended,11410499,9296136,0.815,4.92e-05,9.778,0.386
ZC_61,hg19,Single-ended,5832733,4353428,0.746,0.00402,1.711,0.0266
ZC_62,hg19,Single-ended,11115792,8318334,0.748,0.000116,7.864,0.202
ZC_63,hg19,Single-ended,10802056,8844134,0.819,4.13e-05,6.939,0.383
ZC_64,hg19,Single-ended,3687087,2554855,0.693,0.00295,1.886,0.0295
ZC_65,hg19,Single-ended,18658233,14063330,0.754,4.54e-05,4.583,0.129
ZC_66,hg19,Single-ended,11420566,8927700,0.782,3.74e-05,6.258,0.335
ZC_67,hg19,Single-ended,6697831,4715933,0.704,0.00211,1.589,0.0266
ZC_68,hg19,Single-ended,9325774,7509444,0.805,1.83e-05,3.992,0.104
ZC_69,hg19,Single-ended,7013084,5123618,0.731,1.9e-05,8.531,0.401
ZC_7,hg19,Paired-ended,31593708,8327858,0.264,0.626,13.61,0.125
ZC_70,hg19,Single-ended,12923378,10321500,0.799,0.00316,1.487,0.0228
ZC_71,hg19,Single-ended,26424859,13153096,0.498,7.31e-05,7.776,0.181
ZC_72,hg19,Single-ended,13087086,10809892,0.826,0.000179,7.354,0.384
ZC_73,hg19,Single-ended,6013533,4481004,0.745,0.0048,1.777,0.0307
ZC_74,hg19,Paired-ended,25387512,9952802,0.392,0.488,21.09,0.183
ZC_75,hg19,Paired-ended,31818730,14491230,0.455,0.418,13.32,0.121
ZC_76,hg19,Paired-ended,31715324,16012570,0.505,0.366,18.83,0.179
ZC_77_1_2,hg19,Paired-ended,101638226,68317518,0.672,0.174,18.14,0.132
ZC_78,hg19,Paired-ended,87458824,56212852,0.643,0.175,10.88,0.0771
ZC_79,hg19,Paired-ended,49506696,27888470,0.563,0.267,6.317,0.0516
ZC_8,hg19,Paired-ended,34481218,6491664,0.188,0.618,11.86,0.121
ZC_80_1_2,hg19,Paired-ended,162420800,100798024,0.621,0.226,26.95,0.253
ZC_81_1_2,hg19,Single-ended,62700283,44981296,0.717,0.000565,7.469,0.166
ZC_82,hg19,Single-ended,40512383,34148402,0.843,0.000711,8.49,0.178
ZC_83,hg19,Single-ended,66132704,54616761,0.826,0.00435,1.361,0.0226
ZC_84,hg19,Single-ended,33225400,26584222,0.8,0.000657,4.99,0.0589
ZC_85,hg19,Single-ended,31385138,26201202,0.835,0.000679,6.676,0.0751
ZC_9,hg19,Paired-ended,64122786,13852286,0.216,0.675,11.74,0.123
